date,artist,opener1,opener2,opener3,opener4,festival,venue,city,state,country,price,solo
2014-11-15,Tame Impala,,,,,,The Fox Theater,Oakland,CA,USA,$45.00,No
2014-09-21,Lykke Li,,,,,,The Fox Theater,Oakland,CA,USA,$40.00,No
2014-08-17,Sergio Mendes,,,,,,Sigmund Stern Grove,San Francisco,CA,USA,$0.00,No
2014-08-10,The Killers,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$80.00,No
2014-08-10,Lykke Li,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$80.00,No
2014-08-10,DJ Tiesto,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$80.00,No
2014-08-10,Cut Copy,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$80.00,No
2014-06-28,Robyn,Röyksopp,Zhala,,,,Bill Graham Civic Auditorium,San Francisco,CA,USA,$0.00,No
2014-04-25,Cashmere Cat,,,,,,1015 Folsom,San Francisco,CA,USA,$27.30,No
2013-10-11,Mr. Oizo,,,,,,1015 Folsom,San Francisco,CA,USA,$20.45,Yes
2013-09-21,Blouse,Social Studies,Feathers,,,,Bottom of the Hill,San Francisco,CA,USA,$12.00,No
2012-10-25,Justice,,,,,,Asheville Civic Center,Asheville,NC,USA,$51.35,No
2012-08-05,Diplo,,,,,,Williamsburg Park,Brooklyn,NY,USA,$0.00,Yes
2012-07-21,Sleigh Bells,,,,,,Hudson River Park's Pier 63,New York,NY,USA,$0.00,No
2011-08-18,Girl Talk,,,,,,Red Hat Amphitheater,Raleigh,NC,USA,$0.00,No
2010-10-01,Deadmau5,,,,,,The Tabernacle,Atlanta,GA,USA,$0.00,Yes
2010-03-30,Major Lazer,Rusko,Sleigh Bells,,,,Cat's Cradle,Carborro,NC,USA,$16.90,No
2009-06-09,311,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$25.10,Yes
2009-06-09,Yeah Yeah Yeahs,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,,
2009-06-09,Designer Drugs,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,,
2009-05-01,Girl Talk,Lupe Fiasco,,,,,Moseley Campus Center,Elon,NC,USA,$25.00,No
2009-03-24,Cut Copy,Matt & Kim,,,,,Cat's Cradle,Carborro,NC,USA,$17.96,No
2009-02-12,Benny Benassi,,,,,,The Forum,Charlotte,NC,USA,,No
2008-12-08,Matt and Kim,,,,,,Cat's Cradle,Carborro,NC,USA,,No
2008-10-16,MSTRKRFT,Felix Cartal,,,,,The Forum,Charlotte,NC,USA,,No
2008-06-07,MSTRKRFT,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
2008-06-07,Moby,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
2008-06-07,Crystal Castles,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
2008-06-07,Steve Aoki,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
2008-06-07,Santigold,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
2008-06-07,Flogging Molly,,,,,Live 105's BFD,Shoreline Amphitheatre,Mountain View,CA,USA,$10.53,Yes
